中文译名,日文原名,,出道年份,备注
浅香クリスティ,浅香クリスティ（あさか くりすてぃ）,,1995年,（引退）
爱田るか,愛田るか（あいだ るか）,,1995年,（引退）
亚室优辉,亜室優輝（あむろゆき）,,1995年,（引退）
秋野结衣,秋野結衣（あきの ゆい）,,1995年,寺尾 佑理（てらお ゆり）引退
秋本美亚,秋本美亜（あきもと みあ）,,1995年,
彩瀬みく,彩瀬みく（あやせ みく）,,1995年,
朝仓まみ,朝倉まみ（あさくら まみ）,,1995年,
青山和希,青山和希（あおやま かずき）,,1995年,鲇川はるな（引退）
青山纯,青山純（あおやま じゅん）,,1995年,美由树（引退）
山崎みゆき,山崎みゆき（やまざき みゆき）,,1995年,
弓川奈津子,弓川奈津子（ゆみかわ なつこ）,,1995年,
吉川由贵,吉川由貴（よしかわ ゆき）,,1995年,
三浦あいか,三浦あいか（みうら あいか）,,1995年,AIKA（あいか）、长谷川优（はせがわ ゆう）
水野亜矢,水野亜矢（みずの あや）,,1995年,
小室友里,小室友里（こむろ ゆり）,,1996年,（引退，去了风俗店工作，后来割腕自杀获救，现在在打工）
小泽圆,小沢まどか（おざわ まどか）,,1996年,（引退）
仓泽七海,倉沢七海（おざわ まどか）,,1996年,（自杀）
鲇川はるな,鮎川はるな（おざわ まどか）,,1996年,青山 和希（あおやま かずき）（引退）
安昙野まり,安曇野まり（あずみの まり）,,1996年,（引退）
浅见まお,浅見まお（あゆかわ はるな）,,1996年,小泉リカ（引退）
小野今日子,小野 今日子（おの きょうこ）,,1996年,（引退）
爱咲めぐ,愛咲めぐ（あいさき めぐ）,,1996年,（引退）
安室奈美,安室奈美（あむろ なみ）,,1996年,高原奈美（引退）
秋山さおり,秋山さおり（あきやま さおり）,,1996年,（引退）
秋吉理惠,秋吉理恵（あきより りえ）,,1996年,（引退）
浅香ゆりえ,浅香ゆりえ（あさか ゆりえ）,,1996年,（引退）
爱原エミリ,愛原エミリ（あいはら えみり）,,1996年,（引退）
麻木みく,麻木みく（あさぎ みく）,,1996年,（引退）
草凪纯,草凪純（くさなぎ じゅん））,,1996年,同加纳瑞穂
光月夜也,光月夜也（こうづき やや）,,1996年,同星野南〈ほしの みなみ、Hoshino Minami〉
矢泽ようこ,矢沢ようこ（やざわ ようこ）,,1996年,
祐希リサ,祐希リサ（ゆうき りさ）,,1996年,
柚木真奈,柚木真奈（ゆずき まな）,,1996年,
吉野美穂,吉野美穂（よしの みほ）,,1996年,
牧野さおり,牧野さおり（まきの さおり）,,1996年,
牧原さおり,牧原さおり（まきはら さおり）,,1996年,
真纯まこ,真純まこ（ますみ まこ）,,1996年,
松树圣奈,松樹聖奈（まつき せいな）,,1996年,
松永夏奈,松永夏奈（まつなが かな）,,1996年,
三浦しほ,三浦しほ（みうら しほ）,,1996年,
三咲まお,三咲 まお（みさき まお）,,1996年,川村 みなみ
美咲ゆうほ,美咲ゆうほ（みさき ゆうほ）,,1996年,
美咲玲子,美咲玲子（みさき れいこ）,,1996年,
三泽あゆみ,三沢あゆみ（みさわ あゆみ）,,1996年,
水泽早纪,水沢早紀（みずさわ さき）,,1996年,
水嶋真由,水嶋眞由（みずしま まゆ）,,1996年,
水奈りか,水奈りか（みずな りか）,,1996年,
水野早纪,水野早紀（みずの さき）,,1996年,
吉野纱莉,吉野サリー（よしの さりー）,,1997年,同立花绮罗
蓝川めぐみ,藍川めぐみ（あいかわ めぐみ）,,1997年,
青沼ちあさ,青沼ちあさ（あおぬま ちあさ）,,1997年,
有森いずみ,有森いずみ（ありもり いずみ）,,1997年,
